车牌号,运营状态,GPS速度,行驶方向,卫星定位时间,经度,纬度,海拔高度
VEHICLE_PLATE_NUMBER,GPS_SPEED,DRIVING_DIRECTION,GPS_DATE,LONGITUDE,LATITUDE,RUNNING_STATUS,HIT_ALTITUDE
R290,14.5,184,2020/1/7 23:59,118.135775,24.494043,2,
R916,0,358,2020/1/7 23:59,118.133406,24.529838,2,
R083,71.8,190,2020/1/7 23:59,118.115323,24.478558,2,
H219,45.5,303,2020/1/7 23:59,118.100412,24.526227,2,
L670,0,271,2020/1/7 23:59,118.107015,24.477186,2,
26788,77.3,64,2020/1/7 23:59,118.168047,24.507748,1,
H875,0.4,41,2020/1/7 23:59,118.151285,24.527555,1,
32097,18.5,191,2020/1/7 23:59,118.021876,24.573675,1,
39093,0,0,2020/1/7 23:59,118.052106,24.63361,1,
K660,10.5,91,2020/1/7 23:59,118.232278,24.570362,2,
K502,0,0,2020/1/7 23:59,118.166498,24.482498,1,
29179,0,274,2020/1/7 23:59,118.137423,24.480267,1,
31511,61.1,5,2020/1/7 23:59,118.123961,24.527981,1,
E818,0,101,2020/1/7 23:59,118.039437,24.491107,1,
H018,0,323,2020/1/7 23:59,118.147447,24.546235,1,
H655,5.7,158,2020/1/7 23:59,118.144437,24.546618,1,
H586,0.1,148,2020/1/7 23:59,118.152497,24.522585,1,
H732,70.3,180,2020/1/7 23:59,118.13243,24.508556,2,
R392,0,282,2020/1/7 23:59,118.149706,24.739366,1,
28781,0,302,2020/1/7 23:59,118.182145,24.473748,1,
N169,43.8,294,2020/1/7 23:59,118.067211,24.631273,2,
37575,16.6,230,2020/1/7 23:59,118.0869,24.469048,1,
Q179,24,358,2020/1/7 23:59,118.189365,24.479426,1,
12976,62.2,256,2020/1/7 23:59,118.089748,24.4667,2,
22009,54.9,268,2020/1/7 23:59,118.096013,24.514185,2,
N076,54.3,282,2020/1/7 23:59,118.058853,24.57278,2,
R182,27.4,268,2020/1/7 23:59,118.097688,24.47148,2,
P350,36.6,252,2020/1/7 23:59,118.092121,24.467058,2,
N185,62.2,328,2020/1/7 23:59,118.102575,24.483628,2,
13291,0,116,2020/1/7 23:59,118.115793,24.481858,1,
Q897,4.6,14,2020/1/7 23:59,118.14785,24.545318,1,
N732,33,92,2020/1/7 23:59,118.117768,24.485216,1,
R919,0,108,2020/1/7 23:59,118.181268,24.482871,2,
N879,9.7,284,2020/1/7 23:59,118.091378,24.483816,1,
30976,0,0,2020/1/7 23:59,118.144491,24.547031,1,
37965,43.2,70,2020/1/7 23:59,118.084213,24.468105,1,
K771,1.8,124,2020/1/7 23:59,118.136121,24.511613,1,
11028,49.6,240,2020/1/7 23:59,118.12575,24.49404,1,
K936,0,276,2020/1/7 23:59,118.12541,24.479136,2,
38003,50.5,80,2020/1/7 23:59,118.108095,24.506388,1,
K370,0,232,2020/1/7 23:59,118.129313,24.538855,1,
2937,25.9,340,2020/1/7 23:59,118.00924,24.529383,1,
P977,0,322,2020/1/7 23:59,118.14679,24.546933,1,
P109,13.3,348,2020/1/7 23:59,118.074473,24.459778,1,
R205,10.7,256,2020/1/7 23:59,118.118431,24.495518,1,
R887,75,28,2020/1/7 23:59,118.233886,24.578141,1,
L035,0,179,2020/1/7 23:59,118.12754,24.49718,2,
Q300,0,162,2020/1/7 23:59,118.105598,24.490903,1,
L535,29.6,195,2020/1/7 23:59,118.153171,24.488315,2,
L717,0,164,2020/1/7 23:59,118.088013,24.466221,2,
5725,10.9,244,2020/1/7 23:59,118.13591,24.497195,1,
17685,45.6,86,2020/1/7 23:59,118.083671,24.478018,2,
38727,70.1,196,2020/1/7 23:59,118.131721,24.492065,2,
L056,12.9,280,2020/1/7 23:59,118.113708,24.470361,2,
K573,18.5,346,2020/1/7 23:59,118.144183,24.523996,2,
K223,0,76,2020/1/7 23:59,118.156743,24.48394,1,
P790,0,0,2020/1/7 23:59,118.118678,24.481385,1,
21317,19.4,164,2020/1/7 23:59,118.086166,24.56802,2,
16710,37.2,356,2020/1/7 23:59,118.088615,24.468931,1,
Q515,33.8,88,2020/1/7 23:59,118.145685,24.540205,2,
Q908,23.2,184,2020/1/7 23:59,118.121623,24.601133,2,
R803,0,296,2020/1/7 23:59,118.18725,24.663038,1,
28507,12.1,180,2020/1/7 23:59,118.127848,24.499663,1,
22068,0,228,2020/1/7 23:59,118.070246,24.63314,1,
30267,0,0,2020/1/7 23:59,118.083886,24.501316,1,
20378,0,230,2020/1/7 23:59,118.12894,24.538618,1,
P121,15.8,306,2020/1/7 23:59,118.109683,24.472055,1,
18859,31.1,78,2020/1/7 23:59,118.025945,24.495965,1,
39167,0,0,2020/1/7 23:59,118.070858,24.473831,1,
39315,14.3,80,2020/1/7 23:59,118.120205,24.481958,1,
R732,12.5,170,2020/1/7 23:59,118.12831,24.538203,1,
M113,0,151,2020/1/7 23:59,118.13559,24.513466,1,
L827,75.9,180,2020/1/7 23:59,118.184861,24.506245,2,
13260,65.1,186,2020/1/7 23:59,118.112901,24.536711,1,
32306,0,0,2020/1/7 23:59,118.107355,24.484785,1,
Q261,14.8,145,2020/1/7 23:59,118.126296,24.502063,2,
P536,23.8,28,2020/1/7 23:59,118.119853,24.485645,1,
N629,0,0,2020/1/7 23:59,118.121693,24.50502,1,
R626,21.5,44,2020/1/7 23:59,118.150186,24.529035,2,
H127,11.1,163,2020/1/7 23:59,118.142786,24.479763,2,
21950,0,0,2020/1/7 23:59,118.134038,24.488158,2,
R560,22.2,10,2020/1/7 23:59,118.124946,24.475086,1,
K820,0,85,2020/1/7 23:59,118.077856,24.46635,1,
K890,1.8,87,2020/1/7 23:59,118.070793,24.638235,1,
L515,12.9,16,2020/1/7 23:59,118.156586,24.488445,1,
P137,0,240,2020/1/7 23:59,118.157661,24.48243,1,
5632,35.5,12,2020/1/7 23:59,118.192858,24.499626,1,
R026,0,108,2020/1/7 23:59,118.140425,24.492505,2,
N376,60.7,274,2020/1/7 23:59,118.125996,24.502613,1,
N926,0,78,2020/1/7 23:59,118.184461,24.474226,1,
R321,0,56,2020/1/7 23:59,118.146733,24.544263,1,
17538,73.9,8,2020/1/7 23:59,118.132548,24.499021,2,
N699,54.1,78,2020/1/7 23:59,118.131543,24.510238,2,
L670,0,271,2020/1/7 23:59,118.107015,24.477186,2,
36233,0,117,2020/1/7 23:59,118.073131,24.485498,1,
P533,0,356,2020/1/7 23:59,118.147563,24.479238,2,
Q382,0,236,2020/1/7 23:59,118.070238,24.638211,1,
P850,0,280,2020/1/7 23:59,118.169951,24.473486,1,
Q598,42.5,122,2020/1/7 23:59,118.11979,24.427531,2,
K775,24,171,2020/1/7 23:59,118.15893,24.534936,1,
16206,0,206,2020/1/7 23:59,118.119668,24.479865,1,
19200,0,186,2020/1/7 23:59,118.135235,24.513476,1,
L771,0,168,2020/1/7 23:59,118.13585,24.497911,1,
L289,37,72,2020/1/7 23:59,118.113213,24.478595,2,
P699,0,308,2020/1/7 23:59,118.158951,24.491108,1,
K851,9.2,55,2020/1/7 23:59,118.144205,24.52347,2,
L991,0,322,2020/1/7 23:59,118.132513,24.536928,1,
E883,28.4,102,2020/1/7 23:59,118.070157,24.633077,2,
P607,0,308,2020/1/7 23:59,118.104608,24.526986,2,
K623,0,229,2020/1/7 23:59,118.133608,24.53728,1,
P106,0,18,2020/1/7 23:59,118.117021,24.48477,2,
L227,0,124,2020/1/7 23:59,118.119023,24.43104,1,
M167,25.9,273,2020/1/7 23:59,118.151995,24.4889,1,
L079,11.1,319,2020/1/7 23:59,118.190943,24.525506,1,
H213,0,308,2020/1/7 23:59,118.100903,24.475533,2,
N852,24.4,256,2020/1/7 23:59,118.130056,24.520386,1,
K232,24,200,2020/1/7 23:59,118.096015,24.512695,1,
11706,0,286,2020/1/7 23:59,118.158551,24.477908,2,
30552,0,0,2020/1/7 23:59,118.104646,24.473196,1,
28781,0,302,2020/1/7 23:59,118.182145,24.473748,1,
K958,20.3,45,2020/1/7 23:59,118.107183,24.476918,1,
3048,0,341,2020/1/7 23:59,118.146125,24.524233,1,
18356,0,358,2020/1/7 23:59,118.107558,24.51383,1,
K925,88.8,305,2020/1/7 23:59,118.114963,24.58091,2,
1698,39.3,116,2020/1/7 23:59,118.170825,24.469551,1,
38220,0,0,2020/1/7 23:59,118.109951,24.472076,2,
22121,0,203,2020/1/7 23:59,118.098898,24.510415,1,
N095,35,132,2020/1/7 23:59,118.130533,24.487835,1,
30280,55.7,74,2020/1/7 23:59,118.097801,24.474483,2,
N678,35.1,268,2020/1/7 23:59,118.140825,24.506541,1,
K293,0,307,2020/1/7 23:59,118.085533,24.43909,1,
39992,0,214,2020/1/7 23:59,118.051463,24.496445,1,
K105,14.8,16,2020/1/7 23:59,118.071448,24.638365,1,
R199,0,212,2020/1/7 23:59,118.115566,24.47998,2,
N057,30.4,268,2020/1/7 23:59,118.097573,24.493018,2,
N910,24.3,166,2020/1/7 23:59,118.129,24.506401,2,
P570,13.2,354,2020/1/7 23:59,118.168483,24.47066,1,
Q890,11,234,2020/1/7 23:59,118.124425,24.49142,2,
22603,0,326,2020/1/7 23:59,118.112718,24.548295,2,
Q182,33.7,278,2020/1/7 23:59,118.168356,24.474091,2,
N638,0,0,2020/1/7 23:59,118.02339,24.473796,1,
17058,91.5,178,2020/1/7 23:59,118.089238,24.60715,2,
R297,0,228,2020/1/7 23:59,118.1765,24.518681,1,
K615,20.3,321,2020/1/7 23:59,118.069486,24.456055,1,
32675,18.4,90,2020/1/7 23:59,118.13208,24.495013,2,
Q570,23.6,108,2020/1/7 23:59,118.091808,24.487403,2,
L179,0,0,2020/1/7 23:59,118.030101,24.558901,1,
H755,0,198,2020/1/7 23:59,118.116115,24.482452,1,
K273,64.8,186,2020/1/7 23:59,118.149595,24.494931,2,
L183,92.6,225,2020/1/7 23:59,118.406456,24.723025,1,
30515,11.1,158,2020/1/7 23:59,118.134328,24.516771,2,
H091,31.4,315,2020/1/7 23:59,118.126243,24.525388,2,
L789,0,228,2020/1/7 23:59,118.070425,24.481895,1,
9946,0,107,2020/1/7 23:59,118.05109,24.564718,1,
R866,28.5,230,2020/1/7 23:59,118.143796,24.546896,1,
K716,51.8,192,2020/1/7 23:59,118.115205,24.47824,2,
M215,25.9,37,2020/1/7 23:59,118.121463,24.489618,1,
10659,42.8,252,2020/1/7 23:59,118.090683,24.466708,2,
K325,0,92,2020/1/7 23:59,118.102375,24.4692,1,
M183,0,101,2020/1/7 23:59,118.107135,24.514126,2,
K806,62.9,303,2020/1/7 23:59,118.094476,24.533478,2,
10658,0,226,2020/1/7 23:59,118.128538,24.538255,1,
G768,78.3,345,2020/1/7 23:59,118.113132,24.538027,1,
5562,79.7,150,2020/1/7 23:59,118.08741,24.613255,2,
G960,39.7,165,2020/1/7 23:59,118.101937,24.520877,2,
G986,0,186,2020/1/7 23:59,118.127115,24.494912,1,
H162,0,112,2020/1/7 23:59,118.112708,24.500308,1,
H197,0,342,2020/1/7 23:59,118.075045,24.451036,2,
L852,0,159,2020/1/7 23:59,118.08118,24.46624,1,
K967,0,85,2020/1/7 23:59,118.116255,24.481596,1,
G818,62.8,17,2020/1/7 23:59,118.11658,24.483467,2,
20035,29.6,246,2020/1/7 23:59,118.177455,24.474436,1,
G766,0,334,2020/1/7 23:59,118.132073,24.537538,1,
L606,38.8,271,2020/1/7 23:59,118.094578,24.507235,1,
G590,0,169,2020/1/7 23:59,118.115135,24.478428,1,
L069,51.8,94,2020/1/7 23:59,118.127431,24.478755,2,
R136,59.9,196,2020/1/7 23:59,118.18387,24.500426,1,
33315,0,182,2020/1/7 23:59,117.936586,25.016203,1,
K071,0,0,2020/1/7 23:59,118.15599,24.47845,1,
H627,35.1,179,2020/1/7 23:59,118.095366,24.58051,1,
K661,22.2,128,2020/1/7 23:59,118.149408,24.501523,1,
35797,0,174,2020/1/7 23:59,118.050076,24.496781,1,
L378,0,205,2020/1/7 23:59,118.175525,24.471285,1,
L231,0,59,2020/1/7 23:59,118.161518,24.490163,1,
Q597,29.6,8,2020/1/7 23:59,118.090373,24.444475,1,
N838,0,150,2020/1/7 23:59,118.068378,24.457885,1,
K673,16.6,18,2020/1/7 23:59,118.154225,24.501218,1,
K728,64.8,137,2020/1/7 23:59,118.119391,24.507306,2,
L395,0,114,2020/1/7 23:59,118.125941,24.496773,1,
H353,64.8,47,2020/1/7 23:59,118.149791,24.542565,1,
M263,0,32,2020/1/7 23:59,118.110786,24.472088,1,
L386,0,242,2020/1/7 23:59,118.071016,24.638413,1,
L735,0,152,2020/1/7 23:59,118.106623,24.477168,2,
R189,10.5,114,2020/1/7 23:59,118.134845,24.51577,2,
N268,0,266,2020/1/7 23:59,118.13663,24.48074,1,
21007,37,333,2020/1/7 23:59,118.108715,24.583491,1,
H615,0,288,2020/1/7 23:59,118.116896,24.482378,2,
K990,75.9,336,2020/1/7 23:59,118.184166,24.509616,2,
H672,31.4,234,2020/1/7 23:59,118.102671,24.505218,2,
Q111,0,198,2020/1/7 23:59,118.135596,24.480006,1,
7911,0,326,2020/1/7 23:59,117.750296,24.758306,17,
G923,0,149,2020/1/7 23:59,118.11097,24.497516,2,
K975,44.4,277,2020/1/7 23:59,118.159425,24.488425,2,
33260,7.4,266,2020/1/7 23:59,118.081046,24.478333,1,
L202,25.9,136,2020/1/7 23:59,118.096185,24.473403,2,
H253,37,174,2020/1/7 23:59,118.132908,24.48943,1,
R277,0,232,2020/1/7 23:59,118.039618,24.61876,1,
K869,0,0,2020/1/7 23:59,118.071023,24.638295,2,
R755,49.8,92,2020/1/7 23:59,118.033401,24.567558,1,
L569,14.8,119,2020/1/7 23:59,118.148873,24.478788,1,
H892,43,195,2020/1/7 23:59,118.107018,24.545048,1,
H689,46,83,2020/1/7 23:59,118.148216,24.501472,1,
H668,0.1,87,2020/1/7 23:59,118.10862,24.485118,1,
G803,72.1,300,2020/1/7 23:59,118.082573,24.494275,2,
26866,0.2,210,2020/1/7 23:59,118.013818,24.58951,1,
H676,0,153,2020/1/7 23:59,117.955491,24.534868,1,
Q502,68.1,212,2020/1/7 23:59,118.126503,24.48521,2,
K663,57.4,151,2020/1/7 23:59,118.22907,24.687615,1,
36231,29.6,92,2020/1/7 23:59,118.090108,24.491635,1,
H387,71.3,75,2020/1/7 23:59,118.080072,24.463872,2,
G897,34.6,13,2020/1/7 23:59,118.125847,24.483623,2,
K152,29.6,259,2020/1/7 23:59,118.1364,24.5138,2,
G735,0,351,2020/1/7 23:59,118.17787,24.474095,1,
K992,0,0,2020/1/7 23:59,118.113586,24.517558,1,
HE28,0,238,2020/1/7 23:59,118.146466,24.641978,1,
G770,0,301,2020/1/7 23:59,118.130808,24.539242,2,
K576,11.1,303,2020/1/7 23:59,118.126353,24.4916,1,
H786,28.4,204,2020/1/7 23:59,118.08075,24.46692,1,
G597,0,203,2020/1/7 23:59,118.127947,24.502735,2,
G972,0,220,2020/1/7 23:59,118.134035,24.511045,1,
H021,0,309,2020/1/7 23:59,118.157728,24.482972,1,
K308,25.2,333,2020/1/7 23:59,117.989727,24.523357,2,
G882,54.2,193,2020/1/7 23:59,118.07986,24.497777,1,
G700,0,279,2020/1/7 23:59,118.03683,24.567547,1,
J019,67.3,66,2020/1/7 23:59,118.244495,24.590863,2,
K163,0,0,2020/1/7 23:59,118.111258,24.509883,1,
K159,0.5,230,2020/1/7 23:59,118.119422,24.479552,1,
L970,1.8,217,2020/1/7 23:59,118.124836,24.529911,2,
L260,0,305,2020/1/7 23:59,118.16375,24.487521,1,
H155,35.1,235,2020/1/7 23:59,118.051288,24.609838,2,
H023,0,244,2020/1/7 23:59,118.128222,24.53759,1,
L865,29.6,169,2020/1/7 23:59,118.091565,24.48831,1,
G588,3,291,2020/1/7 23:59,118.043613,24.563038,1,
E779,50.7,43,2020/1/7 23:59,118.113535,24.4699,2,
H002,0,139,2020/1/7 23:59,118.128708,24.53829,1,
G733,56.5,80,2020/1/7 23:59,118.04358,24.554637,1,
K179,0.2,315,2020/1/7 23:59,118.174358,24.477603,1,
H023,0,244,2020/1/7 23:59,118.128222,24.53759,1,
K120,0,0,2020/1/7 23:59,118.082296,24.453761,1,
G919,66.7,140,2020/1/7 23:59,118.14933,24.544317,1,
G936,35.7,231,2020/1/7 23:59,118.163283,24.505433,2,
G569,14,48,2020/1/7 23:59,118.122972,24.492567,2,
L951,1.8,50,2020/1/7 23:59,118.125415,24.493735,2,
H300,53.7,253,2020/1/7 23:59,118.084889,24.468365,1,
H996,17.6,184,2020/1/7 23:59,118.117287,24.485415,1,
15019,0,0,2020/1/7 23:59,118.152098,24.547513,1,
H607,48.4,74,2020/1/7 23:59,118.116653,24.47928,1,
22705,0,326,2020/1/7 23:59,118.146915,24.546617,1,
K333,0.1,92,2020/1/7 23:59,118.13073,24.48572,1,
H766,79.6,190,2020/1/7 23:59,118.086312,24.582548,2,
H583,43.6,278,2020/1/7 23:59,118.139403,24.48036,2,
H121,0.7,30,2020/1/7 23:59,118.124248,24.525017,1,
18852,0,11,2020/1/7 23:59,118.011091,24.492253,1,
17275,0,0,2020/1/7 23:59,118.149826,24.505713,1,
H729,0,34,2020/1/7 23:59,118.076893,24.498588,1,
33953,0,254,2020/1/7 23:59,118.005438,24.535651,1,
H326,0,197,2020/1/7 23:59,118.156862,24.484188,2,
K639,43.3,101,2020/1/7 23:59,118.070185,24.462725,1,
36700,14.8,234,2020/1/7 23:59,118.129158,24.482085,1,
H657,53.5,85,2020/1/7 23:59,118.122282,24.48481,2,
H727,28,268,2020/1/7 23:59,118.136294,24.518002,2,
L166,0,193,2020/1/7 23:59,118.12912,24.506993,2,
30686,0,38,2020/1/7 23:59,118.170031,24.46997,1,
36769,0,328,2020/1/7 23:59,118.033085,24.530458,1,
K821,42.5,244,2020/1/7 23:59,118.108,24.50928,2,
P938,0,60,2020/1/7 23:59,118.053125,24.605321,1,
25157,0,0,2020/1/7 23:59,118.14711,24.546441,1,
E918,0,81,2020/1/7 23:59,118.136677,24.536495,1,
H922,0.2,57,2020/1/7 23:59,118.105538,24.519147,2,
H922,0.2,57,2020/1/7 23:59,118.105538,24.519147,2,
39680,0,196,2020/1/7 23:59,117.998628,24.530281,1,
18151,0,124,2020/1/7 23:59,118.006225,24.53601,1,
13137,0,8,2020/1/7 23:59,118.05813,24.629885,1,
H722,0,274,2020/1/7 23:59,118.095157,24.518442,1,
18468,0,285,2020/1/7 23:59,118.145095,24.518005,1,
K077,57.3,82,2020/1/7 23:59,118.134823,24.51074,2,
K987,0,234,2020/1/7 23:59,118.11505,24.479643,1,
H112,59.2,52,2020/1/7 23:59,118.125615,24.529363,1,
M058,74,64,2020/1/7 23:59,118.113296,24.497781,2,
L708,70.3,120,2020/1/7 23:59,118.16063,24.536328,2,
L658,29.6,197,2020/1/7 23:59,118.03783,24.572385,1,
J001,0.7,144,2020/1/7 23:59,118.027587,24.528497,1,
G586,6.9,188,2020/1/7 23:59,118.167253,24.474023,1,
H157,20.3,264,2020/1/7 23:59,118.110723,24.48568,1,
L209,5.5,309,2020/1/7 23:59,118.072375,24.453416,1,
Q728,74.2,122,2020/1/7 23:59,118.091365,24.59486,2,
L226,11.1,318,2020/1/7 23:59,118.075696,24.458135,1,
P160,39.4,178,2020/1/7 23:59,118.037626,24.57999,2,
K332,0,318,2020/1/7 23:59,118.055318,24.564256,2,
35036,61.5,252,2020/1/7 23:59,118.115763,24.490305,1,
L055,14.8,281,2020/1/7 23:59,118.086878,24.518655,2,
L130,0,329,2020/1/7 23:59,118.113893,24.485398,1,
L860,0,100,2020/1/7 23:59,118.159566,24.485073,1,
K286,38.8,163,2020/1/7 23:59,118.150865,24.526383,2,
10265,0,202,2020/1/7 23:59,118.114856,24.430936,1,
K097,0,119,2020/1/7 23:59,118.147958,24.49754,1,
L907,27.7,89,2020/1/7 23:59,118.13654,24.513803,1,
L273,0,220,2020/1/7 23:59,118.128803,24.538333,1,
K521,0,268,2020/1/7 23:59,118.021931,24.571201,1,
K850,0,157,2020/1/7 23:59,118.14149,24.521956,1,
P305,56.6,84,2020/1/7 23:59,118.120533,24.479316,2,
L560,0,245,2020/1/7 23:59,118.129683,24.538805,1,
H180,0,235,2020/1/7 23:59,118.120915,24.48944,1,
29007,24.7,208,2020/1/7 23:59,118.16742,24.512831,1,
R379,0,6,2020/1/7 23:59,118.116351,24.482128,1,
N988,16.6,46,2020/1/7 23:59,118.12453,24.485466,2,
R885,0,246,2020/1/7 23:59,118.104765,24.523353,1,
Q076,91.8,14,2020/1/7 23:59,118.088428,24.51125,2,
31776,0,0,2020/1/7 23:59,118.146185,24.54762,1,
16512,53.2,244,2020/1/7 23:59,118.126241,24.49424,2,
1679,19.6,78,2020/1/7 23:59,118.155991,24.482835,2,
12561,0,143,2020/1/7 23:59,118.28465,24.678385,1,
17657,33.3,225,2020/1/7 23:59,118.051063,24.49322,1,
K758,0,115,2020/1/7 23:59,118.13662,24.51256,1,
7058,0,0,2020/1/7 23:59,118.070645,24.638275,1,
10707,0,44,2020/1/7 23:59,118.129388,24.50741,1,
R726,0,312,2020/1/7 23:59,118.102025,24.466053,1,
32635,65.2,16,2020/1/7 23:59,118.141845,24.495101,2,
R228,13.2,352,2020/1/7 23:59,118.08882,24.467613,2,
P806,27.3,132,2020/1/7 23:59,118.145275,24.540325,2,
K978,57.4,285,2020/1/7 23:59,118.154441,24.478853,2,
